title,published,summary,author,link,text
Nobel Prize Is No Defense Against Jail for Ales Bialiatski in Belarus,"Sat, 04 Mar 2023 08:12:24 +0000","Ales Bialiatski, last year’s Nobel Peace Prize laureate, has been sentenced by Belarus to 10 years in prison, on charges that rights advocates have dismissed as politically motivated.",Andrew Higgins,https://www.nytimes.com/2023/03/03/world/europe/ales-bialiatski-belarus-nobel-peace-prize.html,"Unsettled by the war in neighboring Ukraine and the increasing militancy of some opposition groups, Belarus on Friday sentenced Ales Bialiatski — a veteran human rights activist who was awarded the Nobel Peace Prize in October — to 10 years in prison, according to Viasna, the group that he helped found.

Mr. Bialiatski, 60, has been a pillar of the human rights movement in Eastern Europe since the late 1980s, when Belarus was part of the Soviet Union. He continued in that role after President Aleksandr G. Lukashenko, the country’s veteran strongman leader, took power in 1994, revived Soviet-era repression and turned his nation into a Russian satellite state.

Mr. Lukashenko, who allowed Belarus to serve as a staging ground for Russia’s abortive attack on the Ukrainian capital, Kyiv, last February, has been under intense pressure from Moscow in recent months to take a more direct role in the war. He has also been unnerved by militant opposition activists in exile, some of whom have joined Ukrainian forces fighting to repel Russia and have threatened to take the fight into Belarus.

An exiled opposition group last week claimed responsibility for an attack on a Russian surveillance aircraft based at a Belarusian military airfield east of Minsk, the capital. Most experts believe the attack was carried out by Ukraine but the incident caused alarm in the Belarusian leadership over potential threats to its tight grip on power."
Rules to Curb Illicit Dollar Flows Create Unintended Hardships for Some Iraqis,"Sat, 04 Mar 2023 05:40:45 +0000",The regulations were meant to prevent dollar transfers to corrupt actors. But they have ended up harming ordinary Iraqis who need U.S. currency for legitimate purposes.,Alissa J. Rubin,https://www.nytimes.com/2023/03/03/world/middleeast/iraq-currency-sanctions-economy.html,"Separately, a sum in cash is sent to the Iraqi central bank, intended for currency exchanges and banks to distribute largely to Iraqis traveling abroad.

Until the new rules were put in place, there had been little in the way of electronic footprints to help U.S. officials trace whether some of the transfers were ending up in the hands of criminal actors.

For example, an Iraqi party might request that a wire in dollars be sent to a bank in another country, such as the United Arab Emirates, in payment for goods that are being imported into Iraq. But, the account in the U.A.E. could also be used to move dollars outside Iraq to launder money or supply a party under sanctions. So more information was needed to be sure that such transactions are legitimate.

The concerns about dollars ending up in the wrong hands date back to soon after the 2003 U.S. invasion of Iraq. At that time, American authorities were concerned primarily about cash transfers but the U.S. Treasury later turned its attention increasingly to wire transfers.

The Treasury wanted to ensure that dollars sent by wire were not being sent in violation of U.S. law to fronts or agents for parties under sanctions or criminal entities. In congressional testimony in 2016, for example, a top Treasury official noted three groups targeted by sanctions that were known to be active in Iraq: Al Qaeda, the Islamic State and the Iran-backed Lebanese militia Hezbollah.

With the Islamic State’s takeover of northern Iraq in 2014, it seized a branch of Iraq’s central bank and those concerns became more urgent. The situation underscored the need for more transparency in the dollar wire transfers."
"Old Skills, New Rewards","Sat, 04 Mar 2023 11:24:21 +0000","There are so many good reasons to return to hobbies and activities that gave us joy when we were younger, as these reader stories show.",Melissa Kirsch,https://www.nytimes.com/2023/03/04/briefing/trying-activities-again.html,"Last week I wrote about my delight over skiing for the first time in 20 years. Many readers then told me about the long-dormant skills and forsaken hobbies that they’ve rediscovered. I was struck by the confidence that comes from returning to horseback riding or ice skating or skateboarding again as an adult. Older and wiser, readers were able to dispense with their youthful hangups, to find meaning in what were once just extracurricular activities. Here are some of their stories that have stayed with me:

Kurt Neubert of San Mateo, Calif., is a Juilliard-trained former musician. He recently picked up the violin after a 28-year break. “Slowly, I started playing excerpts from pieces I used to enjoy but quickly realized that while the neuromuscular memory was there, my left hand had lost most of the agility from its former life. I decided not to give up but to embrace it as a beginner again!” he wrote, adding, “This experience has been a metaphor for this chapter of my life — to let go, step aside and let it unfold organically.”

When the daughters of Eric Ahern of Somerville, Mass., play in the park, he’s rediscovering skateboarding. “I’d rather while away some time skating and doing basic tricks than sitting on a bench,” he wrote. “I get plenty of weird looks from the other parents, but I own it. Skateboarding is a sport for misfits, and I still feel like an outsider at 45, so I embrace it.”

Morgan McEwen of Kennebunkport, Maine, took a 12-year hiatus from snowboarding. Now she’s back at it at 42. “I think it helps to have an outdoor hobby to make winter something other than a season you just try to get through,” she wrote.

Megan Brenenstuhl from Saratoga Springs, N.Y., has returned to tennis. “It is both humbling (realizing the changes in my body over the 20 years) and exhilarating (so much has come back to me),” she wrote. “If there was something you once loved doing, give it a shot because the 20-years-ago you is still in there and it’s fun to find them!”"
"Canada Knows China Tried to Meddle in Its Elections, but What Should Come Next?","Sat, 04 Mar 2023 11:00:03 +0000",Prime Minister Justin Trudeau has rejected calls by the opposition for a full public inquiry.,Ian Austen,https://www.nytimes.com/2023/03/04/world/canada/china-elections.html,"But the issue flared up on Feb. 17 when The Globe and Mail published an article it said was based on secret and top-secret reports prepared by the Canadian Security Intelligence Service, the agency most English-speaking Canadians know as CSIS.

According to the article, the leadership of the Chinese Communist Party did not want a Conservative government to win the 2021 election because it feared it would take a hard-line approach to China. The Chinese leadership, however, wasn’t entirely happy with the Liberals, either, and wanted to hold them to a minority government. While that ultimately was the result, it’s difficult to see how any outside government could engineer such an outcome.

The documents, as reported by The Globe, laid out a variety of strategies, not all of them obviously feasible. China asked its diplomats in Canada to swing the vote in favor of the Liberal candidates in constituencies with large Chinese populations. And the documents the newspaper cited included boasts some of those diplomats conveyed back to Beijing that they had successfully defeated Conservative candidates, although there is nothing to back their claims.

Prime Minister Justin Trudeau, citing secrecy laws, has not addressed any of the specific allegations, but he has criticized the article and other reports for containing inaccuracies, without elaborating.

The Conservatives, who of course were the target, swiftly demanded a public inquiry, and Pierre Poilievre, their leader, charged that Mr. Trudeau was covering up China’s actions."
Biden and Germany’s Scholz Meet Amid Concerns Over Ukraine and China,"Sat, 04 Mar 2023 02:23:01 +0000","President Biden said he and Germany’s chancellor, Olaf Scholz, would work in “lock step” to provide military support to Ukraine.",Katie Rogers,https://www.nytimes.com/2023/03/03/us/politics/biden-scholz-ukraine-china.html,"Still, she added a note of caution: “We have not seen China do anything yet as it relates to lethal weapons and we believe that Russia’s war in Ukraine has put China in a difficult position to actually move forward in that direction.”

In a statement on Friday, the White House said that the two leaders discussed their “commitment to impose costs on Russia for its aggression for as long as necessary,” and that they “exchanged perspectives on other global issues,” without naming China.

The meeting was unusually muted for such a high-level visit. There was no ceremony, and Mr. Scholz and Mr. Biden did not hold a news conference after their meeting. The chancellor also did not travel with a contingent of journalists, which would be typical.

The work-trip nature of the visit underscored the high-stakes conflict playing out overseas. On Friday, Washington announced it would send another arms and ammunition delivery to Ukraine, a package worth some $400 million that would include howitzers, large firearms that are reloaded with ammunition, and HIMARS launchers, which fire satellite-guided rockets with a range of around 50 miles.

“This is a very, very important year because of the dangerous threat to peace that comes from Russia invading Ukraine,” Mr. Scholz said to reporters, adding that it was important to send a united message on protecting Ukraine. “At this time I think it’s very important that we give the message that we will continue to do so as long as it takes.”

Mr. Biden has stressed the importance of working as an international collective as public support for arming the Ukrainians flags and some congressional Republicans balk at the price tag as an election year approaches. Mr. Scholz, who faces an election in 2025, needs to return to Germany with assurance from an American president that the two will cooperate, said Jackson Janes, a resident senior fellow at the German Marshall Fund, a nonpartisan policy organization.

“They need each other for domestic purposes,” Mr. Janes said, “to be clear about the fact that they’re both going to be facing some headwinds with regard to the long run sustainability of political support in both countries.”"
"As Ukraine Clings to Bakhmut, What’s Its Strategy and What’s at Stake?","Sat, 04 Mar 2023 19:53:28 +0000",Ukraine is determined to hold the eastern city as long as it can. How high a price is it willing to pay? What might force its withdrawal? And what would a retreat look like — and mean?,Marc Santora,https://www.nytimes.com/2023/03/03/world/europe/bakhmut-ukraine-russia.html,"The commander of Ukraine’s ground forces visited soldiers in Bakhmut for the second time in less than a week on Friday, a reflection of the precarious position Ukrainian forces find themselves in as they cling to their positions in the battered city.

Col. Gen. Oleksandr Syrsky, the commander, ‌warned‌ in a statement that Russia was throwing “the most prepared units” into the fight and ‌said ‌that he was assessing “problematic issues related to increasing the defense capability of our units on the front line.”

Russia launched its offensive to take Bakhmut in August, and the fighting has rarely relented since. ‌Though Ukraine has put up a stiff defense, in recent weeks Moscow’s forces have made gains that put the critical roads in and out of the city in jeopardy.

Those roads are vital to resupplying the troops, but also for a retreat if needed.

For the moment, commanders say they have pushed Russian troops back a bit, reducing the threat of artillery fire on a main highway that leads southwest out of the city."
Biden’s World Bank Pick Looks to Link Climate and Development Goals,"Fri, 03 Mar 2023 21:35:46 +0000",Ajay Banga will begin a monthlong “global listening tour” to drum up support for his nomination to be the bank’s next president.,Alan Rappeport,https://www.nytimes.com/2023/03/03/business/economy/world-bank-ajay-banga.html,"The Biden administration’s nominee to be the next president of the World Bank, the international development and climate institution, is embarking on a monthlong sprint around the globe to solidify support for his candidacy.

It will be the first opportunity for the nominee, Ajay Banga, to share his vision for the bank, which has been aiming to take on a more ambitious role in combating climate change while maintaining its core commitment to alleviating poverty.

Mr. Banga, who has had a long career in finance, faces the challenge of convincing nations that his decades of private-sector experience will help him transform the World Bank.

He will begin his “global listening tour” on Monday with stops in Ivory Coast and Kenya, the Treasury Department said on Friday. In Ivory Coast, he will meet with senior government officials, leaders of the African Development Bank and civil society organizations. In Kenya, he will visit the Kenya Climate Innovation Center and a World Bank-backed project that helps local entrepreneurs find ways to address climate change."
U.S. Attorney General Garland Meets Zelensky in Ukraine During Surprise Visit,"Fri, 03 Mar 2023 23:16:24 +0000",A major topic of talks was how to hold Russia accountable for any war crimes committed over the past year.,Glenn Thrush,https://www.nytimes.com/2023/03/03/world/europe/merrick-garland-ukraine-zelensky.html,"Attorney General Merrick B. Garland made an unannounced visit to Ukraine on Friday to reaffirm America’s commitment to help hold Russia responsible for war crimes, a Justice Department spokeswoman said.

Mr. Garland held several meetings with President Volodymyr Zelensky and foreign law enforcement officials in Lviv, while attending the United for Justice Conference, the department said in an email.

During the conference, Mr. Garland “reaffirmed our determination to hold Russia accountable for crimes committed in its unjust and unprovoked invasion against its sovereign neighbor,” the email said.

Mr. Zelensky, in his nightly address, said the thrust of the conference was to hold Russia’s leadership to account for atrocities committed by its army, a position he has hammered home repeatedly over the last year of war. “The main issue of all these meetings and the Lviv conference is accountability,” he said."
The Sordid Secrets of Cities,"Fri, 03 Mar 2023 17:29:50 +0000","Machine politics, corruption and violence.",Amanda Taub,https://www.nytimes.com/2023/03/03/world/europe/02interpreter-onsite.html,"The essence of this kind of violent politics is that it happens at the local level, so I’ve also been reading about specific cities, and how their particular flavors of machine politics have sometimes opened up space for crime and corruption to flourish, encouraged state violence, or both.

Longtime subscribers won’t be surprised that my reading list starts with Joan Didion. She isn’t a historian or political scientist, but she had a unique gift for describing the self-mythology of American cities and then finding, in plain sight for anyone who cared to look, the contradictions that fatally lacerate those myths.

“Sentimental Journeys,” her novella-length article for the New York Review of Books, was nominally a report on the Central Park Five rape trial, but was really an exploration of the deep corruption of New York City politics. “Crimes are universally understood to be news to the extent that they offer, however erroneously, a story, a lesson, a high concept,” she wrote. The Central Park rape case was a way to tell a story about who and what New Yorkers should fear, and who could protect them, in a way that distracted from the corrupt dealings that were more immediately relevant to New Yorkers’ lives.

“The extent to which Los Angeles was literally invented by the Los Angeles Times and by its owners, Harrison Gray Otis and his descendants in the Chandler family, remains hard for people in less recent parts of the country to fully apprehend,” Didion wrote in a 1990 Letter from Los Angeles column in The New Yorker. In her swift retelling of that invention, Los Angeles is little more than a series of sales pitches stacked on top of each other, each one making promises about endless opportunities that eventually crumble on contact with reality, leaving ordinary citizens in economic or mortal peril. (I followed that up with some of Mike Davis’s work, particularly his classics “City of Quartz: Excavating the Future in Los Angeles” and “The Case for Letting Malibu Burn.”)

Didion’s “Miami” is usually seen as a book about Cuban expatriates in Florida. They are, to be fair, its main subjects. But I think that when paired with “Salvador,” her travelogue about a reporting trip during El Salvador’s civil war, it’s better understood as a book about how much Americans were kidding themselves about being somehow categorically different from Latin America. It reminded me of “Paths out of Dixie: The Democratization of Authoritarian Enclaves in America’s Deep South,” by Robert Mickey, which makes a strong case that comparisons to Latin America, not Europe, are often the most informative way to understand U.S. history."
Thai Hunger Strikers Calling for Changes to Monarchy Are at Risk of Dying,"Sat, 04 Mar 2023 05:45:01 +0000","The two young women have not had food for 44 days, part of a campaign urging the government to repeal a law that criminalizes criticizing the royal family.",Sui-Lee Wee,https://www.nytimes.com/2023/03/03/world/asia/thailand-hunger-strike.html,"A stream of protesters outside the Supreme Court in Bangkok held up the three-fingered salute — a symbol of defiance against the government. “Fight, fight, fight,” they yelled to two young women who were taken out of a makeshift tent in stretchers, both so weak that they could not open their eyes.

The women, Tantawan “Tawan” Tuatulanon, 21, and Orawan “Bam” Phuphong, 23, were taken to a hospital on Friday evening after their family members and lawyer said that they were on the brink of death. They were on their 44th day of a hunger strike, protesting the detention of Thai political prisoners, calling for judiciary changes and the repeal of a law that criminalizes criticizing the Thai monarchy.

Their plight has been discussed by Thailand’s House of Representatives and has drawn urgent expressions of concern from international human rights groups, which have called on the government to engage with the activists.

In 2022, both women were accused of violating the law against criticizing the monarchy after they conducted a poll asking whether the royal motorcade was an inconvenience to Bangkok residents. They were released on bail in March that year under the condition that they no longer participate in protests or organize activities that defame the royal family."
King Charles Will Travel to France and Germany for First State Visits,"Fri, 03 Mar 2023 15:52:27 +0000","Britain’s new monarch and his wife, Camilla, the queen consort, will attend state banquets in Paris and Berlin later this month.",Jenny Gross,https://www.nytimes.com/2023/03/03/world/europe/king-charles-france-germany-visit.html,"LONDON — King Charles III and Camilla, the queen consort, will travel to France and Germany this month, making their first state visits since Charles ascended to the throne in September, Buckingham Palace said on Friday.

“The visit will celebrate Britain’s relationship with France and Germany, marking our shared histories, culture and values,” said a statement from the palace. “It will also provide an opportunity to look forwards and demonstrate the many ways the U.K. is working in partnership with France and Germany, whether that be to tackle climate change; respond to the conflict in Ukraine; seize trade and investment opportunities or share the best of our arts and culture.”

In choosing France and Germany, the two largest economies of the European Union, for his first official visits, King Charles is signaling Britain’s intention to strengthen ties after Brexit negotiations sowed divisions.

For the French portion of the trip, which begins March 26, the royal couple will join President Emmanuel Macron and his wife, Brigitte, in Paris for a ceremony of remembrance and wreath laying at the Arc de Triomphe. The king and queen consort will also attend a state banquet in their honor at the Palace of Versailles."
